Date,Amount,Description,Account
9/12/2013,-493,Awesome Coffee Inc.,Purchasing Account
9/14/2013,5041.39,Sales Deposit,Purchasing Account
9/18/2013,-28,Pizza Pizza,Business Checking
9/20/2013,49.5,Quickbooks Pro Subscription,Business Checking
9/21/2013,-693,Awesome Coffee Inc.,Purchasing Account
9/21/2013,3033.21,Sales Deposit,Purchasing Account
9/28/2013,2200.39,Sales Deposit,Business Checking
9/29/2013,-750,Nick's Pastry,Purchasing Account
9/30/2013,-200,Awesome Cofee Inc.,Purchasing Account
10/1/2013,-19.99,"Staples, Inc.",Business Checking
10/2/2013,-29.99,Amazon.com,Business Checking
